// Time [sec],Plat Index,X [UTM],Y [UTM],Z [m]
0,1,705629,3669652,320
0,2,706937,3671145,229
0,3,706828,3669290,331
0,4,706554,3668860,335
0,5,707161,3669584,311
0,6,707170,3669526,314
0,31,711014,3670106,312
0,32,712036,3669825,357
0,33,711952,3670293,330
0,34,710861,3669153,414
0,35,711939,3669765,355
0,36,712021,3670411,330
0,61,715623,3670194,569
0,62,715630,3668520,553
0,63,716393,3669701,628
0,64,717052,3669650,651
0,65,717475,3671317,627
0,66,717526,3670510,663
0,91,721856,3670210,687
0,92,722597,3669543,710
0,93,720455,3669941,550
0,94,721632,3670270,682
0,95,721692,3670566,685
0,96,721382,3670628,660
0,121,708127,3665803,379
0,122,706847,3665591,377
0,123,706933,3665780,378
0,124,707540,3665427,394
0,125,706316,3665241,372
0,126,707150,3665543,394
0,151,712137,3664906,580
0,152,712471,3665379,590
0,153,710818,3665384,445
0,154,712386,3665291,590
0,155,712623,3664628,611
0,156,712018,3664840,570
0,181,717569,3666479,599
0,182,716563,3666215,580
0,183,715580,3664439,657
0,184,715647,3664421,660
0,185,716999,3665985,597
0,186,716880,3665950,594
0,211,721246,3666805,569
0,212,720598,3664623,590
0,213,720970,3666044,563
0,214,721807,3665507,570
0,215,721407,3666044,579
0,216,721475,3665816,574
0,241,707071,3660091,264
0,242,705909,3659322,199
0,243,708213,3660997,280
0,244,706792,3658654,261
0,245,707123,3660936,242
0,246,707048,3660264,272
0,271,712011,3659688,566
0,272,709963,3660483,382
0,273,710823,3660274,392
0,274,711075,3660011,412
0,275,713400,3659947,490
0,276,712005,3660689,559
0,301,717117,3660980,612
0,302,716732,3659889,513
0,303,716590,3661190,559
0,304,716450,3662320,664
0,305,715978,3661389,647
0,306,715137,3661835,611
0,331,721298,3660476,647
0,332,720420,3660703,668
0,333,719679,3661119,646
0,334,721720,3660017,692
0,335,720768,3660891,657
0,336,722152,3661309,589
0,361,707491,3655858,384
0,362,706271,3654964,251
0,363,706974,3654816,318
0,364,708046,3654209,339
0,365,707966,3654787,378
0,366,706133,3656216,306
0,391,711889,3656060,426
0,392,713081,3655387,500
0,393,711395,3653718,532
0,394,712722,3655494,488
0,395,711461,3654761,484
0,396,710925,3654956,513
0,421,715875,3654105,614
0,422,718205,3654548,635
0,423,716948,3655456,596
0,424,716209,3655279,471
0,425,716808,3655373,594
0,426,716181,3655412,468
0,451,723083,3657013,803
0,452,722408,3654153,773
0,453,721688,3655906,923
0,454,721983,3655519,852
0,455,722111,3656939,851
0,456,722005,3656909,878
0,481,709964,3667270,429
0,482,709772,3667893,390
0,483,709030,3668245,388
0,484,710743,3667213,463
0,485,709472,3667700,402
0,486,709994,3667477,419
0,511,713221,3668639,368
0,512,714427,3668782,468
0,513,714189,3668168,592
0,514,713476,3667589,551
0,515,714747,3668145,534
0,516,713058,3668197,468
0,541,719697,3667711,646
0,542,718904,3668012,584
0,543,719275,3669473,567
0,544,719347,3667684,640
0,545,719538,3668122,629
0,546,718782,3668802,516
0,571,709539,3664191,482
0,572,709336,3661709,310
0,573,709412,3663133,411
0,574,708256,3662185,411
0,575,709036,3662859,424
0,576,709330,3662905,395
