// Time [sec],Plat Index,X [UTM],Y [UTM]
0,Unit1,706937,3669741
0,Unit6,711871,3670080
0,Unit11,716610,3670080
0,Unit16,721812,3670204
0,Unit21,706848,3665394
0,Unit26,712067,3665715
0,Unit31,716646,3665858
0,Unit36,721438,3666053
0,Unit41,706758,3660228
0,Unit46,711693,3660299
0,Unit51,716753,3660923
0,Unit56,721331,3660673
0,Unit61,706580,3654812
0,Unit66,711444,3655222
0,Unit71,716717,3655239
0,Unit76,722008,3655453
0,Unit81,709395,3667781
0,Unit86,714152,3667906
0,Unit91,718997,3668280
0,Unit96,709217,3663096
